"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"SLOC",4.5,13.0,23.11764705882353,6.0,3.0,245.0,242.0,55.983067138451545,25.75,500.0
"NOM",0.0,2.5,3.235294117647059,1.0,0.0,35.0,35.0,8.069765006890597,6.25,14.0
"NPM",0.0,2.5,2.7058823529411766,1.0,0.0,25.0,25.0,5.747272559093758,6.25,40.0
"WMC",1.0,3.0,5.352941176470588,1.0,1.0,58.0,57.0,13.323756653042,6.0,100.0
"DEP",0.0,1.0,0.8823529411764706,0.0,0.0,7.0,7.0,1.8111534492165473,2.5,20.0
"I-DEP",0.0,1.0,0.5294117647058824,0.0,0.0,4.0,4.0,1.0356951095093534,2.5,15.0
"FAN-IN",0.0,1.0,0.7647058823529411,1.0,0.0,3.0,3.0,0.8065476000471816,2.5,10.0
"FAN-OUT",0.0,1.5,1.2941176470588236,1.0,0.0,9.0,9.0,2.1899424081160337,3.75,15.0
"NOA",0.0,1.0,1.1764705882352942,0.0,0.0,13.0,13.0,3.0531621817319956,2.5,8.0
"LCOM3",0.0,0.0,0.14794605625055451,0.0,0.0,1.0,1.0,0.3246860964041879,0.0,1.0
