"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"javaProject.com.controller.Type",245,35,25,58,7,2,0,9,13
"javaProject.com.model.Man",29,5,5,9,1,0,1,2,0
"javaProject.com.controller.Dispatcher",27,4,4,4,4,4,1,4,3
"javaProject.com.model.Woman",16,3,3,5,0,0,1,1,0
"javaProject.com.model.Human",10,2,2,2,0,0,2,1,1
"javaProject.com.view.QueueViewer",10,0,1,2,1,1,0,2,0
"javaProject.com.controller.ClassWithComments",8,1,1,1,0,0,0,0,0
"javaProject.com.model.Child",7,1,1,1,0,0,1,1,1
"javaProject.com.controller.XClass",6,1,1,1,0,0,0,0,0
"javaProject.others.AnalysisContext",6,1,1,1,0,0,0,0,0
"javaProject.others.ClassVertex",6,1,1,1,0,0,1,0,0
"javaProject.one.A",5,0,0,1,1,1,1,1,1
"javaProject.two.B",5,0,0,1,1,1,1,1,1
"javaProject.com.model.Person",4,1,1,1,0,0,3,0,0
"javaProject.com.controller.XMethod",3,0,0,1,0,0,0,0,0
"javaProject.others.ClassDescriptor",3,0,0,1,0,0,1,0,0
"javaProject.others.ObjectType",3,0,0,1,0,0,0,0,0
