"type","dep","i-dep","fan-in","fan-out"
"javaProject.com.controller.Type",7,2,0,9
"javaProject.com.model.Man",1,0,1,2
"javaProject.com.controller.Dispatcher",4,4,1,4
"javaProject.com.model.Woman",0,0,1,1
"javaProject.com.model.Human",0,0,2,1
"javaProject.com.view.QueueViewer",1,1,0,2
"javaProject.com.controller.ClassWithComments",0,0,0,0
"javaProject.com.model.Child",0,0,1,1
"javaProject.com.controller.XClass",0,0,0,0
"javaProject.others.AnalysisContext",0,0,0,0
"javaProject.others.ClassVertex",0,0,1,0
"javaProject.one.A",1,1,1,1
"javaProject.two.B",1,1,1,1
"javaProject.com.model.Person",0,0,3,0
"javaProject.com.controller.XMethod",0,0,0,0
"javaProject.others.ClassDescriptor",0,0,1,0
"javaProject.others.ObjectType",0,0,0,0
